ERR17057656	PRJEB107069
ERR17057657	PRJEB107069
ERR17057658	PRJEB107069
ERR17057661	PRJEB107069
ERR17057662	PRJEB107069
ERR17057663	PRJEB107069
ERR17057664	PRJEB107069
ERR17057667	PRJEB107069
ERR17057669	PRJEB107069
ERR17057670	PRJEB107069
ERR17057672	PRJEB107069
ERR17057674	PRJEB107069
ERR17057680	PRJEB107069
ERR17057681	PRJEB107069
ERR17057687	PRJEB107069
ERR17057689	PRJEB107069
ERR17057690	PRJEB107069
ERR17057691	PRJEB107069
ERR17057692	PRJEB107069
ERR17057693	PRJEB107069
ERR17057694	PRJEB107069
ERR17057695	PRJEB107069
ERR17057696	PRJEB107069
ERR17057697	PRJEB107069
ERR17057698	PRJEB107069
ERR17057699	PRJEB107069
ERR17057700	PRJEB107069
ERR17057702	PRJEB107069
ERR17057704	PRJEB107069
ERR17057705	PRJEB107069
ERR17057708	PRJEB107069
ERR17057710	PRJEB107069
ERR17057711	PRJEB107069
ERR17057712	PRJEB107069
ERR17057713	PRJEB107069
ERR17057714	PRJEB107069
ERR17057715	PRJEB107069
ERR17057720	PRJEB107069
ERR17057721	PRJEB107069
ERR17057724	PRJEB107069
ERR17057726	PRJEB107069
ERR17057727	PRJEB107069
ERR17057729	PRJEB107069
ERR17057730	PRJEB107069
ERR17057731	PRJEB107069
ERR17057732	PRJEB107069
ERR17057733	PRJEB107069
ERR17057735	PRJEB107069
ERR17057736	PRJEB107069
ERR17057737	PRJEB107069
ERR17057738	PRJEB107069
ERR17057744	PRJEB107069
ERR4436639	PRJEB27899
ERR4436640	PRJEB27899
ERR4436744	PRJEB27899
ERR5709464	PRJEB39593
ERR5709466	PRJEB39593
ERR5709481	PRJEB39593
GCA_000757665.1	PRJNA257414
GCA_000763365.1	PRJNA258276
GCA_000814165.3	PRJNA270223
GCA_000814345.1	PRJNA270223
GCA_000836625.1	PRJNA261239
GCA_000966305.1	PRJNA279414
GCA_000988155.1	PRJNA280110
GCA_001007775.1	PRJNA276040
GCA_001500225.1	PRJNA299302
GCA_001617545.1	PRJNA316135
GCA_001649615.1	PRJNA301792
GCA_001649625.1	PRJNA301792
GCA_001649675.1	PRJNA301792
GCA_001649705.1	PRJNA301792
GCA_001649765.1	PRJNA301792
GCA_001649795.1	PRJNA301792
GCA_001649805.1	PRJNA301792
GCA_001649815.1	PRJNA301792
GCA_001649875.1	PRJNA301792
GCA_001649895.1	PRJNA301792
GCA_001649955.1	PRJNA301792
GCA_001649975.1	PRJNA301792
GCA_001684275.1	PRJNA281196
