ERR17057656	NA	contig00001	71128	72318	+	cxpE	chloramphenicol efflux transporter CxpE	plus	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	397	397	100.00	100.00	397	AKA30736.1	chloramphenicol efflux transporter CxpE	NA	NA
ERR17057656	NA	contig00001	282691	283839	-	blaADC-79	extended-spectrum class C beta-lactamase ADC-79	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.00	100.00	383	WP_001159760.1	extended-spectrum class C beta-lactamase ADC-79	NA	NA
ERR17057656	NA	contig00002	297923	299398	-	amvA	multidrug efflux MFS transporter AmvA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	492	492	100.00	98.98	492	ACQ82816.1	multidrug efflux MFS transporter AmvA	NA	NA
ERR17057656	NA	contig00003	29803	31050	+	nreB	nickel resistance MFS transporter NreB	plus	STRESS	METAL	NICKEL	NICKEL	BLASTX	416	416	100.00	98.08	416	ADY84088.1	nickel resistance MFS transporter NreB	NA	NA
ERR17057656	NA	contig00008	8175	8996	+	blaOXA-100	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-100	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.00	100.00	274	WP_001021795.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-100	NA	NA
ERR17057656	NA	contig00014	50570	51355	+	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	BLASTX	262	262	100.00	99.24	262	WP_001279062.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	NA	NA
ERR17057656	NA	contig00016	32630	33916	-	abaF	fosfomycin efflux MFS transporter AbaF	plus	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	429	429	100.00	99.53	429	ABO11759.2	fosfomycin efflux MFS transporter AbaF	NA	NA
ERR17057657	NA	contig00001	568078	569364	-	abaF	fosfomycin efflux MFS transporter AbaF	plus	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTX	429	429	100.00	100.00	429	ABO11759.2	fosfomycin efflux MFS transporter AbaF	NA	NA
ERR17057657	NA	contig00001	814360	815181	-	blaOXA-69	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-69	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	274	274	100.00	100.00	274	WP_001021779.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-69	NA	NA
ERR17057657	NA	contig00002	121012	122202	+	cxpE	chloramphenicol efflux transporter CxpE	plus	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	397	397	100.00	100.00	397	AKA30736.1	chloramphenicol efflux transporter CxpE	NA	NA
