GCA_001891205.1	blaOXA-72	MPPK01000021.1	-	8978	4326	ausente
GCA_004282835.1	blaOXA-72	RJLV01000008.1	-	15415	87	no_determinable
GCA_004282845.1	blaOXA-72	RJLW01000042.1	+	15415	2709	ausente
GCA_004347305.1	blaOXA	SDHE01000043.1	+	16772	16344	ausente
GCA_004347305.1	blaOXA	SDHE01000043.1	+	16772	1	no_determinable
GCA_004347325.1	blaOXA	SDHB01000052.1	+	16873	0	no_determinable
GCA_004347325.1	blaOXA	SDHB01000052.1	+	16873	16445	ausente
GCA_004359905.1	blaOXA-72	SDHD01000058.1	-	16772	13164	ausente
GCA_009829535.1	blaOXA-72	WTZO01000057.1	-	16673	4208	ausente
GCA_009829545.1	blaOXA-72	WTZL01000043.1	-	15829	4032	ausente
GCA_015536955.1	blaOXA-72	JACDYB010000055.1	+	9097	7483	ausente
GCA_015536965.1	blaOXA-72	JABLWO010000077.1	+	953	94	no_determinable
GCA_015537095.1	blaOXA-72	JABLWM010000051.1	-	16800	13887	ausente
GCA_015537175.1	blaOXA-72	JACDYG010000070.1	+	10209	8396	ausente
GCA_015537245.1	blaOXA-72	JABLWI010000034.1	+	23481	9341	ausente
GCA_015537275.1	blaOXA-72	JABLWJ010000057.1	-	16916	4618	ausente
GCA_015537365.1	blaOXA	JABLWE010000088.1	+	464	0	no_determinable
GCA_015537405.1	blaOXA-72	JACDYL010000047.1	+	10209	9251	ausente
GCA_015537605.1	blaOXA-72	JABLVZ010000066.1	+	9224	2102	ausente
GCA_015537615.1	blaOXA-72	JABLVY010000066.1	-	9097	437	no_determinable
GCA_015538105.1	blaOXA-72	JABLVJ010000043.1	-	16800	5610	ausente
GCA_015538165.1	blaOXA-72	JABLVH010000047.1	+	16800	5160	ausente
GCA_015538205.1	blaOXA	JACDZC010000047.1	-	9097	1	no_determinable
GCA_015538325.1	blaOXA-72	JABLVB010000050.1	-	16800	12293	ausente
GCA_015666365.1	blaOXA-72	JADPHK010000074.1	-	16673	6278	ausente
GCA_016054975.1	blaOXA-72	JAECSL010000069.1	+	15421	4636	ausente
GCA_016056095.1	blaOXA-72	JAECUH010000062.1	-	10209	3068	ausente
GCA_016484945.1	blaOXA-72	DADAJG010000072.1	-	16673	3780	ausente
GCA_016484945.1	blaOXA-72	DADAJG010000191.1	+	6918	6050	ausente
GCA_016484955.1	blaOXA-72	DADAJL010000112.1	+	11501	77	no_determinable
GCA_016484955.1	blaOXA-72	DADAJL010000427.1	+	986	118	no_determinable
GCA_016485005.1	blaOXA-72	DADAJK010000089.1	-	16673	3780	ausente
GCA_016485005.1	blaOXA-72	DADAJK010000420.1	+	8041	7173	ausente
GCA_016485025.1	blaOXA-72	DADAJE010000085.1	-	8970	3780	ausente
GCA_016485025.1	blaOXA-72	DADAJE010000163.1	+	8962	6177	ausente
GCA_016485125.1	blaOXA-72	DADAJJ010000134.1	-	8970	3780	ausente
GCA_016485125.1	blaOXA-72	DADAJJ010000420.1	+	8962	6177	ausente
GCA_016485145.1	blaOXA-72	DADAJQ010000134.1	-	9812	5895	ausente
GCA_016485145.1	blaOXA-72	DADAJQ010000320.1	+	953	94	no_determinable
GCA_016485165.1	blaOXA-72	DADAJI010000142.1	-	8970	3780	ausente
GCA_016485165.1	blaOXA-72	DADAJI010000351.1	+	8835	6050	ausente
GCA_016485185.1	blaOXA-72	DADAJX010000129.1	-	10082	3780	ausente
GCA_016485185.1	blaOXA-72	DADAJX010000420.1	+	2790	19	no_determinable
GCA_018156745.1	blaOXA-72	PNJH01000016.1	-	16937	3521	ausente
GCA_023060375.1	blaOXA-72	JALLDY010000056.1	-	15266	7751	ausente
GCA_023060655.1	blaOXA-72	JALLDO010000063.1	+	11080	30	no_determinable
GCA_023061035.1	blaOXA-72	JALLCJ010000067.1	+	8979	1698	ausente
GCA_026311855.1	blaOXA-72	DAJZTF010000083.1	-	7851	2637	ausente
GCA_026311855.1	blaOXA-72	DAJZTF010000153.1	+	7891	0	no_determinable
GCA_026311875.1	blaOXA-72	DAJZTG010000079.1	-	7851	2637	ausente
GCA_026311875.1	blaOXA-72	DAJZTG010000141.1	+	7891	0	no_determinable
GCA_026340685.1	blaOXA-72	DAKBLD010000142.1	-	7851	2637	ausente
GCA_026340685.1	blaOXA-72	DAKBLD010000331.1	+	7891	0	no_determinable
GCA_026340785.1	blaOXA-72	DAKBLI010000063.1	-	7851	2637	ausente
GCA_026340785.1	blaOXA-72	DAKBLI010000110.1	+	7891	0	no_determinable
GCA_026340935.1	blaOXA-72	DAKBLF010000086.1	-	7851	2637	ausente
GCA_026340935.1	blaOXA-72	DAKBLF010000153.1	+	7891	0	no_determinable
GCA_026555075.1	blaOXA-72	DAKLZT010000073.1	+	18039	4075	ausente
GCA_026555075.1	blaOXA-72	DAKLZT010000184.1	+	7191	6296	ausente
GCA_028440015.1	blaOXA-72	JAIEVS010000059.1	-	16673	6278	ausente
GCA_028440075.1	blaOXA-72	JAIEVQ010000081.1	-	8970	6278	ausente
GCA_028440105.1	blaOXA-72	JAIEVO010000073.1	-	8970	6278	ausente
GCA_028440125.1	blaOXA-72	JAIEVN010000068.1	-	16682	1814	ausente
GCA_028440225.1	blaOXA-72	JAIEVH010000046.1	+	8978	1813	ausente
GCA_028440255.1	blaOXA-72	JAIEVK010000053.1	-	16673	6278	ausente
GCA_029955785.1	blaOXA-72	JASBHG010000073.1	+	7795	5062	ausente
GCA_029955865.1	blaOXA-72	JASBHI010000082.1	+	958	94	no_determinable
GCA_029956025.1	blaOXA-72	JASBHR010000066.1	+	19570	18706	ausente
GCA_030016875.1	blaOXA-72	JASDEA010000049.1	-	7851	1445	ausente
GCA_037545705.1	blaOXA-72	JARBXH010000061.1	+	7999	2708	ausente
GCA_037545745.1	blaOXA-72	JARBXI010000063.1	+	7999	2708	ausente
GCA_037545755.1	blaOXA-72	JARBXJ010000061.1	+	7999	2708	ausente
GCA_037545805.1	blaOXA	JARBXK010000089.1	-	8149	2	no_determinable
GCA_051941745.1	blaOXA-72	JBEUKO010000148.1	+	7978	714	ausente
GCA_051942065.1	blaOXA-72	JBFECW010000069.1	+	8111	7149	ausente
GCA_053320195.1	blaOXA-72	JBROGE010000052.1	-	7850	6770	ausente
GCA_053320235.1	blaOXA-72	JBROGF010000064.1	+	7851	6172	ausente
GCA_053320275.1	blaOXA-72	JBROGH010000043.1	+	7851	5978	ausente
GCA_053320295.1	blaOXA-72	JBROGI010000056.1	-	7850	5453	ausente
GCA_053320315.1	blaOXA-72	JBROGJ010000074.1	-	7851	5472	ausente
GCA_053320335.1	blaOXA-72	JBROGK010000049.1	-	7851	1375	ausente
GCA_053320355.1	blaOXA-72	JBROGL010000053.1	+	7851	1365	ausente
GCA_053320375.1	blaOXA-72	JBROGM010000061.1	-	7851	1778	ausente
GCA_053320395.1	blaOXA	JBROGN010000054.1	+	7851	7351	ausente
GCA_053320415.1	blaOXA-72	JBROGO010000059.1	-	7851	3834	ausente
GCA_053320455.1	blaOXA-72	JBROGQ010000065.1	-	7928	6423	ausente
GCA_053373735.1	blaOXA	JBRZLA010000060.1	-	7928	0	no_determinable
GCA_053373755.1	blaOXA	JBRZLB010000057.1	-	7928	7129	ausente
GCA_053373775.1	blaOXA	JBRZLC010000067.1	-	7928	7165	ausente
